name,id,avg_household_income,median_income,percent_poverty,per_capita_income
Flanagan village,1726311,72461,58286,1.3,29115
Flat Rock village,1726350,62184,50000,0.8,27992
Flora city,1726454,50980,37196,13.2,21357
Floraville CDP,1726467,91120,72413,0.0,34385
Florence village,1726480,63595,42730,0.3,35144
Flossmoor village,1726571,126680,87459,1.7,46140
Foosland village,1726662,90126,70295,0.1,36586
Ford Heights village,1726710,70846,33510,4.1,18667
Forest City village,1726753,63967,50952,0.9,24182
Forest Lake CDP,1726896,166134,135469,0.9,62187
Forest Park village,1726935,76355,50815,7.5,38585
Forest View village,1726987,82735,69785,0.7,31766
Forrest village,1727026,75919,58725,5.7,29185
Forreston village,1727065,67311,53535,3.1,26906
Forsyth village,1727091,131535,95078,4.9,48807
Fox Lake Hills CDP,1727455,105473,76140,1.4,39445
Fox Lake village,1727442,73504,55945,2.8,33142
Fox River Grove village,1727533,126983,92359,2.3,46069
Frankfort Square CDP,1727644,114956,85552,1.8,37067
Frankfort village,1727624,136377,107470,1.1,44536
Franklin Grove village,1727689,91508,70721,2.3,32893
Franklin Park village,1727702,71091,56598,5.7,23957
Franklin village,1727663,64653,49866,2.0,26179
Freeburg village,1727806,85452,68032,2.7,33620
Freeman Spur village,1727858,54716,41760,0.6,22115
Freeport city,1727884,51972,37195,14.1,22363
Fulton city,1728144,68622,52273,3.7,30615
Fults village,1728170,80799,66094,0.1,34184
Gages Lake CDP,1728248,109838,81403,1.2,40443
Galatia village,1728261,51614,38734,7.1,21796
Galena city,1728300,84134,58176,5.4,40043
Galesburg city,1728326,49899,33821,14.6,20161
Galva city,1728430,65182,43772,8.7,28122
Garden Prairie village,1728612,74920,63791,0.2,26818
Gardner village,1728638,67897,57206,2.2,26314
Garrett village,1728742,65802,51645,0.2,26808
Gays village,1728807,80385,53283,0.5,30323
Geneseo city,1728846,80431,59312,3.9,34671
Geneva city,1728872,121289,92255,1.6,44380
Genoa city,1728898,77289,61188,4.6,26775
Georgetown CDP,1728950,85480,75514,0.5,41470
Georgetown city,1728963,50887,34375,12.3,20346
German Valley village,1729093,72324,53594,2.1,27492
Germantown Hills village,1729080,119031,97939,1.2,40681
Germantown village,1729041,81373,77320,0.6,32447
Gibson City city,1729125,63271,41195,5.1,27299
Gifford village,1729145,71033,54142,2.1,26738
Gilberts village,1729171,114280,97569,0.7,36499
Gillespie city,1729236,61135,45033,9.7,25198
Gilman city,1729275,60646,44225,2.9,24439
Gilson CDP,1729340,57571,50859,0.6,22422
Girard city,1729392,67193,49676,7.9,27350
Gladstone village,1729431,71360,58248,0.5,32251
Glasford village,1729483,81625,59900,2.2,34503
Glasgow village,1729496,65799,46235,0.3,30333
Glen Carbon village,1729639,96558,73296,2.4,38357
Glen Ellyn village,1729756,137606,92267,2.3,52255
Glencoe village,1729652,273227,185603,2.2,94375
Glendale Heights village,1729730,88873,66406,6.7,29246
Glenview village,1729938,134876,94768,2.4,50649
Glenwood village,1730029,78493,57302,5.4,28714
Godfrey village,1730094,75192,50552,6.8,30542
Godley village,1730120,69261,53924,0.7,24086
Golconda city,1730133,49557,36032,1.6,23517
Golden Gate village,1730250,56644,52706,0.2,28322
Golden village,1730159,55193,42230,1.9,21683
Golf village,1730328,191836,152570,0.7,59853
Good Hope village,1730458,69222,47744,2.0,31290
Goodfield village,1730445,94012,72703,0.5,31155
Goofy Ridge CDP,1730510,72347,43828,1.6,31626
Goreville village,1730575,57320,41528,4.3,23387
Gorham village,1730588,53794,43750,0.9,20742
Grafton city,1730653,91516,48200,3.8,41277
Grand Detour CDP,1730705,67286,60380,0.4,32153
Grand Ridge village,1730757,85332,66346,1.3,30476
Grand Tower city,1730770,53794,43750,2.2,21695
Grandview village,1730835,46615,41094,14.1,20962
Grandwood Park CDP,1730900,137340,115191,4.0,46651
Granite City city,1730926,53886,41195,11.4,22050
Grant Park village,1730991,81528,63302,1.3,31362
Grantfork village,1730978,86853,68555,0.2,33246
Granville village,1731017,70592,47036,5.5,29879
Grayslake village,1731121,110958,98465,1.5,40816
Grayville city,1731165,60856,43726,4.2,26921
Green Oaks village,1731446,161724,105473,0.9,48191
Green Valley village,1731563,73203,60439,1.2,26845
Greenfield city,1731368,66375,44936,2.6,28075
Greenup village,1731524,51876,38406,7.9,22972
Greenview village,1731576,74640,63776,0.6,31372
Greenville city,1731589,65165,44765,3.3,20071
Greenwood village,1731667,88061,84620,0.3,31080
Gridley village,1731732,98280,76213,0.8,39394
Griggsville city,1731771,49838,41250,9.0,20244
Gulf Port village,1731992,71360,58248,0.1,29072
Gurnee village,1732018,107275,82562,2.4,39544
Hainesville village,1732200,87215,71618,1.4,29654
Hamburg village,1732395,62964,45741,0.6,28039
Hamel village,1732408,85826,70629,1.8,34288
Hamilton city,1732434,63439,48520,3.7,26442
Hammond village,1732499,58372,49427,1.3,25229
Hampshire village,1732525,84299,65793,0.8,29549
Hampton village,1732564,65261,48075,3.3,26693
Hanaford village,1732616,58402,44867,0.9,26254
Hanna City village,1732668,81097,69924,0.8,36146
Hanover Park village,1732746,89977,71606,4.0,25877
Hanover village,1732707,65495,49722,3.8,29954
Hardin village,1732850,62964,45741,4.5,24938
Harmon village,1732967,61322,48776,0.7,25551
Harrisburg city,1733136,48788,34910,10.4,20306
Harrison CDP,1733162,59610,50765,2.0,24213
Harristown village,1733227,76823,57589,1.1,30403
Hartford village,1733279,55859,44848,1.4,23962
Hartsburg village,1733318,70757,56860,0.6,28844
Harvard city,1733331,64794,42919,14.8,20933
Harvel village,1733357,81177,52386,0.4,34946
Harvey city,1733383,52241,30205,16.0,16421
Harwood Heights village,1733435,64800,48479,3.4,26253
Havana city,1733513,55341,30758,8.2,22985
Hawthorn Woods village,1733630,161278,131257,0.6,51963
Hazel Crest village,1733695,78982,53203,5.9,28024
Hebron village,1733851,87073,66275,0.8,33369
Hecker village,1733877,80799,66094,0.8,32588
Henderson village,1734007,77471,61238,1.0,33115
Hennepin village,1734098,68343,65574,2.7,29432
Henning village,1734137,67646,58867,0.3,24794
Henry city,1734163,60595,42869,7.8,24690
Heritage Lake CDP,1734272,81736,69563,0.5,27156
Herrick village,1734332,51949,43712,1.4,20375
Herrin city,1734358,51735,37221,8.2,21814
Herscher village,1734384,81794,62738,1.7,31000
Hettick village,1734423,61614,45000,1.5,26552
Heyworth village,1734449,103588,91341,1.4,36535
Hickory Hills city,1734514,74313,55175,4.9,27638
Hidalgo village,1734553,61496,52322,0.1,25527
Highland city,1734670,75589,60600,1.9,30582
Highland Park city,1734722,184572,115753,4.6,70758
Highwood city,1734865,94659,60685,4.3,30508
Hillcrest village,1734982,58463,48215,1.0,18121
Hillsboro city,1735047,64669,45450,3.0,18889
Hillsdale village,1735073,87293,66465,0.5,35218
Hillside village,1735086,72891,54944,3.4,26039
Hillview village,1735203,62977,57100,1.5,22842
