tract_id,tract_name,pct_female_jobs,pct_male_jobs
1706964,Bluford village,59.09,40.91
1718823,Decatur city,47.53,52.46
1727026,Forrest village,36.91,63.09
1751284,Mulberry Grove village,52.08,47.92
1722073,East Moline city,39.51,60.5
1729756,Glen Ellyn village,58.97,41.04
1755275,Ogden village,53.51,46.49
1755106,Oblong village,51.05,49.25
1775549,Tiskilwa village,49.52,50.48
1702609,Assumption city,24.2,75.95
1728807,Gays village,46.75,53.25
1708524,Brocton village,48.48,51.52
1719681,Detroit village,25.0,75.0
1707211,Bondville village,27.63,72.37
1765611,Roscoe village,51.61,48.31
1714845,Clear Lake village,54.42,46.26
1755717,Old Ripley village,33.33,66.67
1726753,Forest City village,47.92,52.08
1756926,Ottawa city,55.93,44.07
1732746,Hanover Park village,45.65,54.44
1779683,Weldon village,40.54,59.46
1737712,Iroquois village,36.84,63.16
1772650,Stewardson village,35.77,64.23
1783518,Worth village,50.29,49.74
1726571,Flossmoor village,67.07,32.93
1700997,Alsey village,47.37,52.63
1733435,Harwood Heights village,54.12,45.96
1714936,Clifton village,54.46,45.54
1779228,Watseka city,55.71,44.26
1719200,De Land village,40.0,60.0
1747163,Marshall city,53.46,46.54
1779358,Waverly city,46.15,53.85
1738674,Joppa village,25.69,74.31
1721358,Dwight village,59.22,40.83
1753195,Nora village,47.37,52.63
1768406,Scottville village,43.75,56.25
1746786,Marengo city,44.98,54.97
1740910,Lake Bluff village,43.65,56.32
1747540,Matteson village,57.87,42.12
1742067,LaPlace CDP,48.15,51.85
1761977,Prophetstown city,62.99,37.15
1714065,Chicago Ridge village,58.55,41.44
1766677,St. Augustine village,61.11,38.89
1718628,Darien city,53.9,46.1
1745941,Macon city,59.62,40.38
1739259,Keensburg village,25.0,75.0
1725713,Fayetteville village,39.13,60.87
1781919,Willowbrook village,53.18,46.73
1734007,Henderson village,47.06,50.98
1739038,Kappa village,44.16,55.84
1760222,Pittsfield city,59.01,40.99
1701647,Apple Canyon Lake CDP,46.59,53.41
1728326,Galesburg city,59.54,40.48
1724452,Essex village,25.0,75.0
1714117,Chillicothe city,51.74,48.26
1714442,Cisco village,48.15,51.85
1705976,Big Rock village,47.91,52.09
1735203,Hillview village,25.0,75.0
1741794,La Moille village,46.6,53.4
1730458,Good Hope village,24.14,75.86
1760352,Plano city,47.77,52.23
1767613,San Jose village,32.31,66.15
1749347,Mill Shoals village,53.85,46.15
1744927,Louisville village,45.75,54.25
1751947,Nelson village,25.0,66.67
1780957,West York CDP,46.15,53.85
1739727,Kewanee city,56.72,43.28
1758174,Pawnee village,43.32,56.68
1776771,Union Hill village,20.0,80.0
1738921,Kangley village,63.41,37.8
1775848,Tower Hill village,61.54,38.46
1777681,Vernon village,38.46,69.23
1710292,Cabery village,60.47,41.86
1724582,Evanston city,57.66,42.34
1777993,Villa Park village,45.96,54.03
1711527,Carthage city,56.62,43.38
1763420,Reynolds village,59.38,39.06
1751180,Mount Vernon city,50.21,49.78
1730705,Grand Detour CDP,53.62,44.93
1707692,Bradford village,58.05,41.95
1767769,Sauk Village village,23.28,76.65
1700516,Albany village,39.58,60.42
1724634,Evergreen Park village,66.27,33.73
1745525,McClure village,58.62,41.38
1720643,Downs village,46.57,53.43
1759709,Pierron village,32.5,67.5
1720318,Donnellson village,42.86,57.14
1709642,Burbank city,42.62,57.38
1723841,Elvaston village,52.94,47.06
1743250,Libertyville village,48.68,51.32
1778604,Walnut Hill village,50.0,45.45
1755041,Oakwood Hills village,45.48,54.52
