tract_id,tract_name,male_wf,male_emp,pct_male_emp,female_wf,female_emp,pct_female_emp,total_wf,total_emp,pct_total_emp
17197880415,17197880415,2554,1872,73.3,2914,1857,63.73,5468,3729,68.2
17197880414,17197880414,1654,1190,71.95,1775,1198,67.49,3428,2388,69.66
17197880417,17197880417,993,637,64.15,1092,540,49.45,2083,1176,56.46
17031671600,17031671600,755,164,21.72,1154,345,29.9,1909,509,26.66
17197880411,17197880411,1461,1063,72.76,1319,634,48.07,2780,1697,61.04
17197880410,17197880410,2986,2424,81.18,3024,2105,69.61,6010,4529,75.36
17197880412,17197880412,1683,1124,66.79,1639,1119,68.27,3321,2243,67.54
17031835200,17031835200,806,560,69.48,828,363,43.84,1634,923,56.49
17197883606,17197883606,1371,660,48.14,1507,835,55.41,2878,1495,51.95
17197880419,17197880419,2895,2221,76.72,3196,2091,65.43,6091,4312,70.79
17197880418,17197880418,1914,1320,68.97,1884,1055,56.0,3798,2375,62.53
17031843600,17031843600,886,284,32.05,1303,634,48.66,2189,918,41.94
17187870300,17187870300,1071,593,55.37,1136,790,69.54,2207,1383,62.66
17097866100,17097866100,1201,781,65.03,1394,597,42.83,2595,1378,53.1
17031815200,17031815200,2558,1749,68.37,2578,1296,50.27,5136,3045,59.29
17163501502,17163501502,1026,594,57.89,1306,828,63.4,2332,1422,60.98
17163501501,17163501501,607,351,57.83,838,362,43.2,1445,713,49.34
17097861014,17097861014,1408,1090,77.41,1431,1050,73.38,2838,2140,75.41
17119404000,17119404000,1025,481,46.93,1157,403,34.83,2182,884,40.51
17031222700,17031222700,837,590,70.49,861,292,33.91,1698,882,51.94
17167003201,17167003201,1504,1059,70.41,1910,1222,63.98,3414,2282,66.84
17031818000,17031818000,1522,805,52.89,1885,997,52.89,3407,1802,52.89
17137952100,17137952100,1520,721,47.43,1528,1052,68.85,3048,1773,58.17
17151971200,17151971200,1183,543,45.9,843,360,42.7,2027,902,44.5
17031819200,17031819200,2441,1692,69.32,2381,1417,59.51,4822,3109,64.48
17183010200,17183010200,2044,1209,59.15,2194,944,43.03,4238,2153,50.8
17197883902,17197883902,2424,1486,61.3,2544,1591,62.54,4968,3077,61.94
17057953700,17057953700,957,492,51.41,1135,671,59.12,2093,1162,55.52
17165955600,17165955600,1072,607,56.62,950,413,43.47,2023,1021,50.47
17031832900,17031832900,1184,656,55.41,883,581,65.8,2067,1237,59.85
17089852002,17089852002,2764,2022,73.15,2782,2057,73.94,5546,4079,73.55
17093890102,17093890102,4690,3618,77.14,5040,3333,66.13,9730,6951,71.44
17093890101,17093890101,6305,5127,81.32,6966,4930,70.77,13272,10058,75.78
17031750200,17031750200,1137,685,60.25,1444,787,54.5,2581,1472,57.03
17041952400,17041952400,1171,878,74.98,1463,750,51.26,2634,1628,61.81
17121952300,17121952300,1508,998,66.18,1435,884,61.6,2943,1882,63.95
17031840000,17031840000,1179,679,57.59,1041,508,48.8,2220,1187,53.47
17031220701,17031220701,1307,710,54.32,1276,599,46.94,2583,1309,50.68
17031220702,17031220702,1547,1074,69.42,1563,1018,65.13,3110,2092,67.27
17193958000,17193958000,1107,538,48.6,926,437,47.19,2033,975,47.96
17119401701,17119401701,1065,443,41.6,940,367,39.04,2005,810,40.4
17097862000,17097862000,2134,1296,60.73,2173,1121,51.59,4307,2417,56.12
17031801800,17031801800,2173,1238,56.97,2300,992,43.13,4473,2229,49.83
17073031000,17073031000,1420,743,52.32,1524,661,43.37,2944,1404,47.69
